,state name,Fatalities,geometry
1,Alabama,326,POINT (-86.8287 32.7794)
2,Arkansas,70,POINT (-92.4426 34.8938)
3,Arizona,585,POINT (-11.6602 34.2744)
4,California,2913,POINT (-19.4696 37.1841)
5,Colorado,310,POINT (-5.5478 38.9972)
6,Connecticut,78,POINT (-72.7273 41.6219)
7,District of Columbia,61,POINT (-77.0147 38.9101)
8,Delaware,32,POINT (-75.505 38.9896)
9,Florida,1028,POINT (-82.44970000000001 28.6305)
10,Georgia,285,POINT (-426 32.6415)
12,Iowa,41,POINT (-93.49600000000001 42.0751)
13,Idaho,88,POINT (-14.613 44.3509)
14,Illinois,301,POINT (-89.1965 40.0417)
15,Indiana,106,POINT (-86.2816 39.8942)
16,Kansas,103,POINT (-98.38039999999999 38.4937)
17,Kentucky,105,POINT (-85.3021 37.5347)
18,Louisiana,350,POINT (-91.99679999999999 31.0689)
19,Massachusetts,120,POINT (-71.8083 42.2596)
20,Maryland,195,POINT (-76.79089999999999 39.055)
21,Maine,51,POINT (-69.2428 45.3695)
22,Michigan,128,POINT (-85.4102 44.3467)
23,Minnesota,175,POINT (-94.3053 46.2807)
24,Missouri,188,POINT (-92.458 38.3566)
25,Mississippi,176,POINT (-89.6678 32.7364)
26,Montana,57,POINT (-9.6333 47.0527)
27,North Carolina,308,POINT (-79.3877 35.5557)
28,North Dakota,13,POINT (-0.4659 47.4501)
29,Nebraska,50,POINT (-99.79510000000001 41.5378)
30,New Hampshire,29,POINT (-71.58110000000001 43.6805)
31,New Jersey,124,POINT (-74.6728 40.1907)
32,New Mexico,162,POINT (-6.1126 34.4071)
33,Nevada,276,POINT (-16.6312 39.3289)
34,New York,390,POINT (-75.52679999999999 42.9538)
35,Ohio,241,POINT (-82.7937 40.2862)
36,Oklahoma,169,POINT (-97.4943 35.5889)
37,Oregon,212,POINT (-20.5583 43.9336)
38,Pennsylvania,189,POINT (-77.7996 40.8781)
39,Rhode Island,20,POINT (-71.5562 41.6762)
40,South Carolina,127,POINT (-80.8964 33.9169)
41,South Dakota,32,POINT (-0.2263 44.4443)
42,Tennessee,162,POINT (-86.3505 35.858)
43,Texas,1190,POINT (-99.3312 31.4757)
44,Utah,153,POINT (-11.6703 39.3055)
45,Virginia,148,POINT (-78.8537 37.5215)
46,Vermont,21,POINT (-72.6658 44.0687)
47,Washington,304,POINT (-20.4472 47.3826)
48,Wisconsin,109,POINT (-89.9941 44.6243)
49,West Virginia,60,POINT (-80.62269999999999 38.6409)
50,Wyoming,35,POINT (-7.5512 42.9957)
